"CODVIAJE"	"EDAD"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"GENERO"	"TIEMPO_PROFESION"	"HORASTRABAJO"	"NIVELEDUCATIVO"	"INFOTRAFICO"	"CinturonDeSeguridad"	"FrenoRapidoBrusco"	"UsaDireccionales"	"AceleraFrenaBruscamenteSemaforo"	"CulebreaConFrecuencia"	"OmiteLimiteVelocidad"	"IgnoraSenhalPare"	"UsoCelular"	"ActitudAgresiva"	"ViolacNormas"	"IdViaje"	"NivelEducativo"	"DispMobiles"	"SatisfDispMob"	"ComunicVerbal"	"Ansiedad"	"ComunicAfectiva"	"PresPersonal"	"AmbTrabajo"	"StressAlCond"	"HabProsoc"	"AmbLaboral"	"Stress"	"HabProsociales"	"DISTAlt1"	"TIEMPOAlt1"	"VELAlt1"	"DISTAlt2"	"TIEMPOAlt2"	"VELAlt2"	"DISTAlt3"	"TIEMPOAlt3"	"VELAlt3"	"DISTEC"	"TIEMPOEC"	"VELPROMEC"	"VELTOTALEC"	"COSTO"	"CHOICE"
"76"	81	3	"1"	"3"	"1"	"2"	"1"	"2"	1	11	14	1	1	5	1	5	1	3	1	1	1	0.139	0.135	272	1	1	0	10	1	1	1	1	1	2	0.086	0.169	0.252	4.6	12	23	5.8	13	26.7692307692308	5	14	21.4285714285714	4.7486110757439	10.8340499997139	42.1559034783703	26.2982600737635	10300	4
"77"	82	3	"1"	"2"	"1"	"1"	"2"	"2"	1	18	16	1	1	5	1	5	1	1	1	1	1	0.102	0.141	58	1	3	1	3	3	3	2	2	2	1	0.152	0.246	0.389	3.9	11	21.2727272727273	4.2	11	22.9090909090909	4.2	14	18	3.90248803604043	9.6653333346049	38.7247754357095	24.2256810040993	7800	2
"78"	83	4	"1"	"2"	"1"	"1"	"2"	"2"	1	23	12	1	1	1	1	3	1	5	1	1	1	0.133	0.242	87	1	1	0	2	1	5	4	3	3	2	0.32	0.23	0.524	4.8	21	13.7142857142857	6	28	12.8571428571429	5.4	27	12	5.22862784078864	44.4528833309809	48.6803536494624	7.05730757916161	10800	1
"79"	84	3	"1"	"5"	"2"	"1"	"2"	"2"	1	2	14	2	1	5	5	3	5	3	3	5	1	0.829	0.677	21	2	0	0	4	4	3	2	2	6	3	0.131	0.658	0.277	6.4	18	21.3333333333333	7.7	25	18.48	7.4	25	17.76	5.86085867446615	21.5048833330472	30.870217997674	16.3521705754885	11500	4
"80"	85	2	"1"	"2"	"1"	"1"	"2"	"1"	1	12	14	1	1	5	1	3	1	1	1	1	1	0.091	0.192	328	1	3	2	9	1	1	2	2	1	1	0.19	0.138	0.233	5	17	17.6470588235294	5.9	20	17.7	5.5	20	16.5	4.63779314741114	14.9566166679064	32.5620819953111	18.6049823314499	9900	4
"81"	86	1	"1"	"6"	"1"	"2"	"2"	"2"	1	3	12	1	1	5	3	5	5	3	1	1	1	0.637	0.085	76	1	4	1	5	4	2	5	5	3	2	0.501	0.336	0.185	8.3	28	17.7857142857143	9.3	32	17.4375	8.8	34	15.5294117647059	7.45356234115071	39.3309500018756	19.1531147867944	11.37052983586	15000	4
"82"	87	3	"2"	"6"	"1"	"2"	"2"	"1"	1	20	14	1	1	5	1	5	1	3	1	1	1	0.139	0.135	132	1	1	0	3	1	1	1	1	1	1	0.07	0.147	0.263	6.2	22	16.9090909090909	6.2	24	15.5	6.6	24	16.5	6.39070453803249	33.382450000445	19.0369587044358	11.486343041833	12000	2
"83"	89	2	"1"	"3"	"1"	"1"	"2"	"1"	1	1	12	2	2	5	1	5	1	1	1	1	1	0.102	0.141	312	2	3	2	10	2	2	2	2	2	1	0.17	0.243	0.296	4.1	15	16.4	5.2	20	15.6	5.2	26	12	3.32041920432399	20.2890499989192	29.0536394680325	9.8193435508342	10200	1
"84"	90	2	"2"	"1"	"1"	"1"	"1"	"2"	1	10	15	1	1	5	1	5	1	1	1	1	5	0.124	0.146	214	1	5	2	10	1	1	2	4	1	1	0.301	0.119	0.209	5.8	14	24.8571428571429	7.4	15	29.6	6.7	16	25.125	4.76124845287191	11.6500500003497	32.3666589153799	24.5213460168617	10000	4
"85"	91	3	"1"	"4"	"1"	"1"	"2"	"1"	1	1	15	2	1	5	1	5	1	3	1	1	1	0.139	0.135	350	2	1	0	5	1	1	1	1	1	1	0.072	0.15	0.261	3	8	22.5	3	8	22.5	4.6	10	27.6	3.55656446810794	10.32600000302	31.5002996242412	20.665685456524	8000	1
"86"	92	2	"1"	"2"	"1"	"1"	"2"	"1"	1	11	12	1	1	5	1	3	1	1	1	1	1	0.091	0.192	159	1	3	2	8	3	2	1	1	1	1	0.059	0.197	0.339	12.2	26	28.1538461538462	0	0	0	0	0	0	11.3335482967195	24.5650000015895	33.9346933962068	27.6821859458242	17000	4
"87"	93	2	"1"	"3"	"1"	"1"	"2"	"2"	1	17	15	0	1	5	1	5	1	3	1	1	1	0.139	0.135	240	0	1	0	5	1	1	3	3	1	1	0.301	0.112	0.212	3.4	10	20.4	4.1	18	13.6666666666667	0	0	0	3.47000976239613	10.7747166673342	25.8296743059579	19.3230682691611	7800	1
"88"	94	3	"1"	"1"	"1"	"1"	"1"	"1"	1	-1	12	2	1	5	1	3	1	1	1	1	1	0.091	0.192	144	2	1	0	9	1	1	2	1	3	1	0.117	0.328	0.198	3.1	9	20.6666666666667	2.7	9	18	3	9	20	2.86788098003027	7.34643333355586	28.9154707855236	23.4226393937109	7000	3
"89"	95	4	"2"	"2"	"2"	"1"	"2"	"2"	1	22	12	1	2	1	1	3	1	1	1	1	1	0.06	0.254	279	1	1	4	10	5	3	1	4	3	2	0.2	0.403	0.331	3.7	15	14.8	4.7	15	18.8	4.1	17	14.4705882352941	3.03554192053147	12.1200000007947	20.6101858660538	15.0274352491704	9800	4
"90"	96	4	"2"	"1"	"2"	"1"	"2"	"1"	1	15	12	0	1	5	1	5	1	1	1	1	1	0.102	0.141	127	0	1	0	3	3	1	1	1	2	1	0.052	0.295	0.226	4.6	19	14.5263157894737	4.8	20	14.4	6.1	23	15.9130434782609	5.39426834664467	20.548766664664	30.6401935498154	15.7506338983957	10800	4
"91"	98	3	"2"	"4"	"1"	"1"	"1"	"2"	1	35	12	1	1	5	1	5	1	3	1	1	1	0.139	0.135	381	1	1	0	4	1	1	1	1	1	1	0.071	0.149	0.262	5.2	16	19.5	7.5	21	21.4285714285714	0	0	0	7.9856613284706	18.8832833329837	33.9652251866354	25.373748370937	10400	1
"92"	99	4	"2"	"5"	"1"	"1"	"2"	"1"	1	40	14	1	1	1	3	5	5	1	1	3	1	0.521	0.4	248	1	1	0	8	7	7	4	6	3	6	0.488	0.393	0.611	7.2	21	20.5714285714286	8.4	27	18.6666666666667	8.7	27	19.3333333333333	6.20002156373171	26.6004499991735	26.6282908523253	13.9847744619155	12000	1
"93"	100	3	"1"	"1"	"1"	"1"	"1"	"1"	1	22	12	1	2	5	1	5	1	1	1	1	1	0.102	0.141	185	1	6	2	9	2	2	2	2	1	1	0.179	0.151	0.32	6.7	13	30.9230769230769	6.7	15	26.8	7.4	16	27.75	6.98659258021562	14.7585500001907	31.4226831764181	28.4035731699604	12500	1
"94"	101	3	"1"	"1"	"1"	"1"	"1"	"1"	1	10	10	1	1	5	1	5	1	3	1	1	1	0.139	0.135	143	1	1	0	4	1	1	1	1	1	1	0.071	0.149	0.262	4.8	12	24	9.5	16	35.625	6.9	17	24.3529411764706	4.70605301356862	9.64128333330154	32.6276372918197	29.2868875493803	9300	4
"95"	102	2	"1"	"2"	"1"	"1"	"2"	"2"	1	15	12	0	1	5	5	3	5	5	5	3	1	0.889	0.556	34	0	0	0	2	7	7	4	5	7	5	0.381	0.744	0.539	5.9	17	20.8235294117647	7.4	20	22.2	6.8	23	17.7391304347826	5.91862565377002	17.0245000004768	31.9861675997088	20.859205216967	11100	1
"96"	103	4	"1"	"4"	"1"	"1"	"1"	"1"	1	22	15	2	1	5	1	5	1	5	1	1	1	0.175	0.129	375	2	1	0	6	4	1	1	1	4	1	0.032	0.509	0.17	4.8	14	20.5714285714286	0	0	0	0	0	0	7.76982445892784	28.0517166654269	27.3714043725442	16.6189282850642	14000	4
"97"	104	2	"1"	"1"	"1"	"1"	"2"	"1"	1	11	12	1	1	5	1	5	1	3	1	1	3	0.15	0.137	158	1	1	0	4	1	1	1	1	1	1	0.071	0.149	0.262	3	9	20	3	8	22.5	4.6	12	23	3.12591618058848	12.0245500008265	19.8602870088645	15.5976706672946	7200	1
"98"	105	1	"2"	"1"	"1"	"1"	"2"	"2"	1	1	12	1	1	1	3	3	1	1	1	1	5	0.409	0.18	251	1	3	2	9	1	2	2	2	3	2	0.174	0.314	0.275	5.8	15	23.2	6.8	18	22.6666666666667	6.7	17	23.6470588235294	5.46507552295039	12.6758333325386	32.2130552992402	25.8684792372032	10500	1
"99"	106	1	"1"	"1"	"1"	"1"	"1"	"2"	1	3	14	1	1	5	1	5	1	3	1	1	1	0.139	0.135	225	1	1	0	5	1	1	4	4	1	1	0.416	0.093	0.188	6	14	25.7142857142857	5.4	16	20.25	4.8	22	13.0909090909091	5.15435063982563	15.855166665713	27.9868219292264	19.5053792186442	10200	2
"100"	107	2	"1"	"1"	"1"	"1"	"1"	"1"	1	15	10	1	2	1	3	3	1	3	1	1	1	0.424	0.169	209	1	1	0	10	2	1	2	1	2	1	0.123	0.268	0.214	5.5	19	17.3684210526316	7.2	19	22.7368421052632	7.2	20	21.6	5.58091401604086	18.3444499969482	26.8852222362503	18.2537411052475	11000	1
"101"	109	3	"1"	"2"	"1"	"1"	"2"	"1"	1	25	12	2	2	1	1	5	1	1	1	1	1	0.071	0.204	347	2	1	0	3	5	5	2	2	4	2	0.12	0.464	0.51	4	12	20	4.3	13	19.8461538461538	4.8	13	22.1538461538462	4.18896493236783	13.6909500002861	52.7463852164013	18.357958792985	9800	4
"102"	111	2	"1"	"2"	"1"	"1"	"2"	"1"	1	8	14	1	1	1	1	5	1	3	1	1	1	0.108	0.198	368	1	1	0	4	1	1	3	3	1	1	0.3	0.111	0.213	5.5	17	19.4117647058824	6.1	21	17.4285714285714	7.2	26	16.6153846153846	4.62833208804925	15.8730666677157	23.2290122381091	17.4950393075442	9200	1
"103"	112	3	"1"	"3"	"1"	"1"	"2"	"1"	1	8	10	0	1	5	1	5	1	1	3	1	1	0.077	0.271	245	0	3	1	3	5	4	2	1	2	1	0.081	0.298	0.48	4.3	13	19.8461538461538	6.4	15	25.6	6.5	16	24.375	2.92624794877176	16.5717666665713	15.9993798181781	10.5948195179743	7100	1
"104"	113	3	"1"	"2"	"1"	"2"	"2"	"1"	1	10	12	1	1	5	1	5	1	1	1	1	1	0.102	0.141	341	1	1	0	6	4	4	2	1	5	2	0.07	0.556	0.409	7.6	23	19.8260869565217	7.8	26	18	11.4	28	24.4285714285714	7.79009744525161	26.2917833328247	52.0043796343322	17.7776395308853	16700	1
"105"	114	3	"1"	"2"	"2"	"1"	"2"	"1"	1	21	10	1	1	1	3	5	5	5	3	1	1	0.617	0.272	160	1	3	2	10	2	1	2	2	4	2	0.169	0.449	0.15	11.4	24	28.5	11.9	24	29.75	12.3	25	29.52	9.60050591436877	17.5812833309174	38.441197077604	32.7638400462585	16000	4
"106"	115	4	"1"	"2"	"2"	"1"	"1"	"2"	1	5	12	0	2	5	3	5	5	3	1	1	1	0.637	0.085	221	0	1	0	5	7	1	1	1	7	2	0	0.875	0.075	4.6	16	17.25	5.6	20	16.8	5.8	21	16.5714285714286	5.3944326450201	26.9423833330472	18.1493461400444	12.013263811899	12600	4
"107"	116	3	"1"	"1"	"1"	"1"	"2"	"1"	1	10	14	2	2	5	1	5	1	1	1	1	1	0.102	0.141	150	2	1	0	9	2	1	1	1	2	1	0.062	0.276	0.228	4.2	15	16.8	5.2	16	19.5	5.6	18	18.6666666666667	4.50774224347259	18.9902166644732	27.1382670485311	14.242309047181	9700	4
"108"	117	3	"1"	"1"	"1"	"1"	"1"	"1"	1	20	14	1	1	5	1	3	1	1	1	1	1	0.091	0.192	228	1	1	0	10	3	1	3	3	1	1	0.297	0.178	0.195	4.8	14	20.5714285714286	5.3	17	18.7058823529412	6.5	18	21.6666666666667	4.56210227379283	15.5092333316803	26.3797370509095	17.6492371075775	9300	1
"109"	118	3	"1"	"2"	"1"	"1"	"2"	"1"	1	5	12	1	2	5	3	5	5	3	1	1	1	0.637	0.085	82	1	1	0	4	1	1	4	4	3	2	0.406	0.283	0.137	3.7	15	14.8	5.5	15	22	4	18	13.3333333333333	5.98448097786227	22.9080500006676	26.7682099057761	15.6743528437066	10500	4
"110"	119	3	"1"	"5"	"3"	"1"	"2"	"1"	1	25	-1	0	2	5	5	3	5	5	3	3	3	0.926	0.429	17	0	0	0	2	6	7	2	2	7	3	0.082	0.742	0.616	6.4	25	15.36	6.8	27	15.1111111111111	8.6	29	17.7931034482759	7.3891413413626	24.2633833328883	26.6786877227808	18.2723272512787	12600	4
"111"	120	2	"2"	"3"	"1"	"1"	"2"	"1"	1	10	14	2	1	5	1	5	1	1	3	1	1	0.077	0.271	119	2	3	2	5	5	4	2	1	2	1	0.083	0.301	0.479	8.7	26	20.0769230769231	12	27	26.6666666666667	12.7	31	24.5806451612903	7.08040364818672	22.0212166666985	28.1594929750898	19.2915870780947	15600	1
"112"	121	2	"1"	"3"	"1"	"1"	"2"	"1"	1	5	12	1	1	5	1	5	1	1	1	1	1	0.102	0.141	93	1	3	2	8	1	1	3	3	2	1	0.295	0.207	0.186	4.7	12	23.5	5.3	13	24.4615384615385	6.4	17	22.5882352941176	4.23554152460858	17.95643333594	19.9359521567229	14.1527265867362	9300	4
"113"	122	3	"1"	"5"	"1"	"1"	"2"	"2"	1	18	12	1	1	5	3	5	1	3	1	1	1	0.465	0.056	269	1	1	0	5	1	1	3	3	2	1	0.292	0.203	0.189	6.6	19	20.8421052631579	7.4	18	24.6666666666667	6.4	23	16.695652173913	6.11685873581715	25.225933333238	19.4066951261119	14.5489770111083	11000	4
"114"	123	3	"1"	"4"	"1"	"1"	"1"	"1"	1	-1	12	1	1	5	1	5	1	3	1	1	1	0.139	0.135	336	1	1	0	10	1	1	1	1	1	1	0.076	0.158	0.257	6.3	16	23.625	6.8	17	24	6	19	18.9473684210526	5.63147195454446	21.8766166687012	22.3165118063176	15.4451816014166	11000	4
"115"	124	3	"2"	"2"	"1"	"1"	"2"	"1"	2	1	12	2	1	5	3	5	1	1	1	1	1	0.429	0.062	220	2	1	0	7	2	1	1	1	5	1	0.032	0.543	0.159	11.6	24	29	8.2	27	18.2222222222222	9.8	26	22.6153846153846	7.70884999009309	30.1344000021617	161.835159033123	15.3489367424739	15300	2
"116"	125	3	"1"	"3"	"2"	"1"	"2"	"1"	1	8	16	1	1	1	3	1	1	3	1	1	5	0.434	0.225	79	1	1	0	5	1	2	1	2	5	2	0.092	0.497	0.244	5.1	16	19.125	4.9	15	19.6	5.4	16	20.25	4.26042704409423	17.7356666644414	46.9360339983353	14.4130822642355	9000	2
"117"	126	2	"2"	"2"	"2"	"1"	"2"	"1"	1	3	12	0	2	1	1	3	1	3	1	1	3	0.108	0.251	120	0	1	0	7	1	1	4	3	3	1	0.344	0.287	0.151	7	20	21	6.2	20	18.6	0	0	0	6.14257868389767	28.3620500008265	19.5082416055005	12.9946432300599	11400	2
"118"	127	3	"1"	"1"	"1"	"1"	"2"	"1"	1	20	-1	4	1	5	3	5	5	3	1	1	1	0.637	0.085	109	4	1	0	1	8	10	3	3	5	3	0.184	0.553	0.906	2.3	7	19.7142857142857	0	0	0	0	0	0	2.26533439650018	8.337433330218	22.2405684967646	16.3023868865476	6000	4
"119"	128	3	"1"	"3"	"1"	"1"	"1"	"1"	1	24	14	1	1	5	1	5	1	3	1	1	3	0.15	0.137	210	1	1	0	6	1	1	1	1	1	1	0.073	0.152	0.26	3.9	10	23.4	3.6	13	16.6153846153846	4	15	16	4.31924092731231	15.9431166688601	22.3712034000852	16.2549431846607	8500	4
"120"	129	2	"1"	"1"	"1"	"1"	"1"	"1"	1	4	13	2	1	5	1	5	1	1	1	1	3	0.113	0.143	147	2	5	2	10	1	1	2	5	1	2	0.365	0.119	0.193	2.4	8	18	2.6	10	15.6	3.4	10	20.4	2.79338084021125	9.60693333148956	22.0139376053016	17.4460303438671	7000	4
"121"	130	3	"1"	"2"	"1"	"1"	"2"	"1"	1	10	12	4	1	5	3	5	5	3	1	1	1	0.637	0.085	258	4	1	0	3	1	1	3	4	2	1	0.345	0.189	0.179	6.3	17	22.2352941176471	6.8	21	19.4285714285714	6	23	15.6521739130435	6.37604840132392	19.4450500011444	29.5575798320459	19.6740509310555	11000	1
"122"	131	4	"1"	"1"	"1"	"1"	"2"	"1"	1	40	10	1	2	5	5	3	5	5	3	3	1	0.914	0.426	16	1	0	0	9	4	2	3	2	2	2	0.23	0.301	0.265	5.7	15	22.8	6.6	18	22	0	0	0	4.83113454065247	15.5004499991735	26.8072659134203	18.700623043499	9300	4
"123"	132	2	"1"	"6"	"2"	"2"	"2"	"1"	1	8	12	1	1	1	1	5	1	3	1	3	1	0.059	0.443	348	1	2	1	7	1	1	3	2	1	1	0.248	0.126	0.222	7.5	28	16.0714285714286	5.6	30	11.2	5.5	32	10.3125	5.19121817331661	25.8201666673024	36.7955970569529	12.063171179814	11600	4
"124"	133	4	"1"	"2"	"2"	"1"	"2"	"1"	1	15	13	1	1	5	1	3	1	1	1	1	1	0.091	0.192	152	1	1	6	9	4	3	2	3	4	1	0.19	0.454	0.318	6.2	15	24.8	6.7	15	26.8	5.7	14	24.4285714285714	6.14088830075302	15.4635999997457	34.9064464658193	23.8271358578365	11500	3
"125"	134	2	"1"	"6"	"1"	"1"	"2"	"1"	1	1	14	1	1	5	5	5	5	5	1	1	1	1	0	74	1	1	0	7	4	2	1	1	4	2	0.035	0.506	0.257	4.8	16	18	6	17	21.1764705882353	6.4	22	17.4545454545455	4.7980092515459	37.5235500017802	30.5694218561838	7.6719967881263	12700	4
"126"	135	3	"2"	"2"	"1"	"1"	"2"	"2"	1	9	16	1	2	5	3	3	5	3	3	1	5	0.622	0.271	125	1	1	0	1	8	9	4	4	8	7	0.316	0.863	0.698	5.6	18	18.6666666666667	4.7	19	14.8421052631579	4.9	20	14.7	4.60026668614235	18.2788333336512	28.3172728622505	15.1003073407534	10000	2
"127"	136	4	"1"	"3"	"1"	"1"	"1"	"2"	1	10	8	3	1	5	1	5	1	1	1	1	1	0.102	0.141	182	3	1	0	10	1	1	1	1	1	1	0.076	0.158	0.257	5.3	13	24.4615384615385	5.4	14	23.1428571428571	0	0	0	4.98484594165401	17.2079499999682	21.5958745230842	17.3809638277536	10000	4
"128"	137	3	"2"	"2"	"1"	"1"	"2"	"1"	1	18	15	1	1	5	1	3	1	1	1	1	1	0.091	0.192	301	1	4	1	10	2	2	5	2	4	1	0.331	0.397	0.21	7.6	16	28.5	5.4	14	23.1428571428571	4.8	15	19.2	4.35203180773807	16.711333334446	51.5780259606253	15.625438332084	9400	4
"129"	138	2	"1"	"1"	"1"	"1"	"2"	"1"	1	9	14	1	1	5	1	5	1	1	1	1	1	0.102	0.141	105	1	1	0	5	1	1	2	1	1	2	0.141	0.152	0.243	3.9	13	18	4.3	15	17.2	4.4	17	15.5294117647059	4.11416604935264	17.2242166678111	113.653341650356	14.3315639672878	8600	1
"130"	139	3	"1"	"1"	"1"	"1"	"1"	"1"	1	7	10	1	1	5	3	5	5	1	1	1	1	0.6	0.091	231	1	1	0	8	3	1	2	1	2	1	0.116	0.294	0.209	3.7	9	24.6666666666667	0	0	0	0	0	0	3.68057878393072	10.0606666684151	48.6220437815016	21.9503075009077	8900	1
"131"	140	2	"2"	"2"	"1"	"1"	"2"	"2"	1	5	12	1	2	5	1	3	1	1	1	1	1	0.091	0.192	236	1	5	4	3	2	2	3	1	7	1	0.122	0.685	0.183	5.2	11	28.3636363636364	5.9	17	20.8235294117647	4.8	15	19.2	4.59708356378862	14.566833337148	580.637706726828	18.9351389861731	9500	4
"132"	141	1	"1"	"4"	"1"	"1"	"2"	"2"	1	1	12	0	1	5	1	5	1	3	1	1	1	0.139	0.135	292	0	1	0	7	1	1	3	1	1	1	0.193	0.136	0.234	3.5	9	23.3333333333333	3.6	10	21.6	4.4	11	24	3.52759194362303	8.06611666679382	36.2022891659244	26.2400762796693	8200	1
"133"	142	4	"1"	"2"	"1"	"1"	"2"	"1"	1	10	14	1	2	5	1	5	1	1	1	1	1	0.102	0.141	55	1	1	0	10	1	2	2	2	1	1	0.184	0.124	0.326	7.4	20	22.2	8	24	20	7.6	24	19	7.2025288904649	23.7803333322207	28.6066119304791	18.1726524767572	14100	4
"134"	143	2	"1"	"2"	"2"	"1"	"1"	"1"	1	14	16	1	1	1	3	3	5	3	3	1	1	0.569	0.329	100	1	0	4	8	2	2	2	3	2	2	0.233	0.24	0.281	7.3	23	19.0434782608696	7.2	25	17.28	7	26	16.1538461538462	7.07709063672131	24.5275666673978	33.9418629817328	17.3121714013194	11600	1
"135"	144	3	"1"	"3"	"1"	"2"	"1"	"1"	1	26	10	0	1	1	1	3	1	3	3	3	1	0.022	0.624	15	0	0	0	3	4	3	4	5	3	3	0.442	0.338	0.288	4.5	13	20.7692307692308	5.7	16	21.375	5.3	16	19.875	4.67262702305341	13.2115500013034	28.925536124225	21.2206456740917	9100	1
"136"	145	3	"1"	"1"	"1"	"1"	"1"	"1"	1	10	12	4	1	1	1	5	1	3	1	1	1	0.108	0.198	227	4	1	0	1	1	1	3	4	1	1	0.353	0.096	0.204	5.6	14	24	6.7	14	28.7142857142857	6.7	18	22.3333333333333	5.00912791242916	13.5151166677475	27.233517032001	22.2378897744166	10000	4
"137"	146	1	"1"	"1"	"1"	"1"	"1"	"1"	1	3	15	1	1	5	1	3	1	3	1	1	3	0.138	0.188	384	1	1	0	10	1	1	1	1	1	1	0.076	0.158	0.257	3	8	22.5	3	8	22.5	4.6	11	25.0909090909091	3.53675806518506	6.94266666968664	45.5377765833376	30.5654144159973	6800	1
"138"	147	3	"1"	"1"	"1"	"1"	"1"	"2"	1	6	14	4	1	5	1	5	1	3	1	1	1	0.139	0.135	202	4	1	0	6	1	1	1	1	1	1	0.073	0.152	0.26	5.5	13	25.3846153846154	7.3	16	27.375	6.9	17	24.3529411764706	4.8920643213181	14.8771666646004	28.5885780977953	19.7298226131669	9800	1
"139"	148	4	"1"	"3"	"1"	"1"	"2"	"2"	1	18	12	1	1	1	1	5	1	3	1	1	3	0.119	0.2	332	1	1	0	7	1	1	2	2	1	1	0.188	0.134	0.235	4	11	21.8181818181818	3.9	10	23.4	4.6	11	25.0909090909091	4.84453258346274	17.967616669337	19.0762483898451	16.1775465470508	9600	4
"140"	149	3	"2"	"3"	"2"	"1"	"2"	"1"	1	15	10	2	1	5	1	5	1	1	1	3	1	0.053	0.386	302	2	1	5	9	9	2	3	1	5	5	0.154	0.758	0.158	6.4	26	14.7692307692308	6.1	35	10.4571428571429	6.2	38	9.78947368421053	6.66345204344113	44.2217166662216	24.5467216983203	9.04096793944359	17200	4
"141"	150	4	"1"	"6"	"1"	"1"	"2"	"2"	1	40	12	0	1	5	1	5	1	3	1	1	1	0.139	0.135	293	0	1	0	6	1	1	1	1	1	1	0.073	0.152	0.26	6.2	19	19.5789473684211	6.6	20	19.8	7.3	18	24.3333333333333	5.80897486184733	25.8637166659037	19.7038515122492	13.4759631113002	11500	4
"142"	151	3	"1"	"3"	"1"	"1"	"2"	"2"	1	15	10	0	1	1	1	5	1	3	1	1	1	0.108	0.198	291	0	1	0	5	1	2	2	1	1	1	0.124	0.126	0.342	2.9	11	15.8181818181818	0	0	0	0	0	0	3.28306196253265	14.6360499978065	21.0935409062328	13.4588032824075	7800	4
"143"	152	2	"2"	"5"	"1"	"1"	"2"	"2"	1	9	15	1	2	5	1	3	5	1	3	1	5	0.258	0.356	124	1	3	2	10	3	1	2	2	2	1	0.173	0.287	0.196	7.4	28	15.8571428571429	7.2	30	14.4	9.2	30	18.4	8.24730037842145	53.3516166647275	103.854604567398	9.27503332869836	17500	4
"144"	153	3	"2"	"2"	"1"	"2"	"1"	"2"	1	1	12	4	1	5	1	5	1	3	1	1	1	0.139	0.135	382	4	1	0	3	1	1	1	2	1	1	0.125	0.137	0.251	5.9	20	17.7	7.1	19	22.4210526315789	5.9	20	17.7	6.86103242350522	20.5562333345413	24.7946102820322	20.0261370218338	10800	4
"145"	154	3	"1"	"3"	"1"	"1"	"2"	"1"	1	5	15	2	1	5	1	5	1	3	1	1	1	0.139	0.135	45	2	4	2	1	1	1	1	1	1	1	0.068	0.144	0.265	5.6	12	28	6.7	13	30.9230769230769	7.4	15	29.6	2.37249644553301	17.2556666652362	14.8483863944453	8.24945158559207	8000	4
"146"	155	3	"1"	"2"	"1"	"1"	"1"	"2"	1	7	16	1	1	5	1	3	1	1	1	1	1	0.091	0.192	178	1	1	0	10	3	1	2	2	2	1	0.173	0.287	0.196	4.8	14	20.5714285714286	6.1	16	22.875	4.7	17	16.5882352941176	5.05083410754439	22.3853833357493	23.8339378494219	13.5378537819674	11200	4
"147"	156	2	"1"	"1"	"1"	"1"	"1"	"1"	1	2	13	2	1	5	1	5	1	1	1	1	1	0.102	0.141	145	2	4	2	8	4	3	3	1	4	2	0.148	0.475	0.324	3.9	10	23.4	3.8	11	20.7272727272727	5.9	12	29.5	2.23754823863894	6.72121666669846	37.4662535942649	19.9744928598297	6000	4
"148"	157	3	"1"	"3"	"1"	"1"	"2"	"1"	1	3	14	1	1	5	1	3	1	3	1	1	1	0.127	0.186	54	1	1	6	9	2	2	1	3	1	1	0.174	0.15	0.322	3.9	16	14.625	7.3	16	27.375	0	0	0	3.58393955660375	14.3624499996503	24.5054488282668	14.9721233773806	9200	1
"149"	158	3	"1"	"2"	"1"	"1"	"1"	"2"	1	1	15	4	2	5	1	5	1	3	1	1	3	0.15	0.137	352	4	1	0	3	1	2	3	2	1	1	0.237	0.104	0.319	4.3	15	17.2	5.1	14	21.8571428571429	4.4	16	16.5	4.28122646266636	21.9643833319346	20.5479748575464	11.6950056770547	9000	4
"150"	159	3	"1"	"5"	"1"	"2"	"2"	"1"	1	25	14	2	2	5	3	3	5	5	3	3	1	0.587	0.505	14	2	1	2	1	5	3	3	1	4	2	0.138	0.493	0.324	6.8	18	22.6666666666667	6.5	20	19.5	0	0	0	6.25185501552877	23.61571666797	21.6980414118052	15.8839685538948	10500	2
"151"	160	4	"1"	"4"	"1"	"1"	"1"	"1"	1	20	12	4	2	1	3	3	5	5	3	3	1	0.557	0.568	385	4	4	1	7	2	2	9	9	7	3	0.943	0.578	0	5	14	21.4285714285714	6.4	17	22.5882352941176	6.1	17	21.5294117647059	5.10842429399663	14.3307333310445	32.923158166282	21.3879813795584	9200	4
"152"	161	1	"1"	"3"	"1"	"1"	"1"	"1"	1	-1	16	0	1	5	1	5	1	3	1	1	1	0.139	0.135	335	0	1	0	8	1	1	1	1	1	1	0.075	0.155	0.259	7.4	18	24.6666666666667	7.3	17	25.7647058823529	8	20	24	6.53910558443523	26.0719999988874	37.1414931755784	15.0485706920396	12400	2
"153"	162	4	"1"	"4"	"1"	"1"	"1"	"2"	1	8	-1	1	1	5	1	5	1	1	1	1	1	0.102	0.141	39	1	1	0	7	3	1	3	3	1	1	0.294	0.173	0.197	6.7	19	21.1578947368421	6.8	21	19.4285714285714	7.6	22	20.7272727272727	7.24185732268916	27.6068833351135	23.6682429423236	15.7392427854646	12500	4
